Station_Name,Province,Price
KAMLOOPS-TCH WEST,BC,1.9238
KELOWNA-ACLAND RD,BC,1.9476
KELOWNA-WESTBANK,BC,1.9476
KITWANGA,BC,1.958
MACKENZIE,BC,1.917
MCL ALTAGAS REEF,BC,1.404
MCL BLACKWATER COLD,BC,1.965
MCL CAMPBELL RIVER TEMP PP,BC,2.3179
MCL HUNTER CREEK CGL,BC,2.0215
MCL ROYAL CAMP MILE 109,BC,2.064
MCL ROYAL CAMP MILE 147,BC,2.1328
MCL TCE - MT BRACEY,BC,1.9682
NAKUSP,BC,1.9579
NANAIMO,BC,2.3182
PENTICTON,BC,1.9515
PRINCE GEORGE-GREAT ST,BC,1.899
PRINCE GEORGE-HARTWAY,BC,1.899
PRINCE RUPERT,B,1.9727
QUESNEL,BC,1.9149
REVELSTOKE,BC,1.9515
SALMON ARM,BC,1.9466
SMITHERS,BC,1.9538
SPARWOOD,BC,1.9544
TERRACE,BC,1.933
THORNHILL/TERRACE PPASS,BC,1.933
VANCOUVER,BC,2.409
VERNON,BC,1.9407
WILLIAMS LAKE-COLLIER,BC,1.9614
WILLIAMS LAKE-GILL,BC,1.9614
WATSON LAKE,YT,1.7334
WHITEHORSE-ALASKA HWY,YT,1.8017
WHITEHORSE-GALENA RD,YT,1.8017
ENTERPRISE,NT,1.8121
YELLOWKNIFE,NT,1.8195
