SITE NUMBER,Station_Name,Province,City,Address,Latitude,Longitude
37608,IRVING 24 ST DAVIDS,NL,SAINT DAVIDS,"Trans-Canada Hwy, St. Davids, NL A0N 1Z0",48.9144,-58.0294
3105,GOOBIES IRVING BIG STOP,NL,GOOBIES,"Trans-Canada Hwy, Goobies, NL A0B 1S0",47.6733,-53.9044
5050,IRVING 24 DUPLESSIS,QC,ANCIENNE-LORETTE,"1241 Boul Duplessis, L'Ancienne-Lorette, QC G2G 2B4",46.7872,-71.3521
15100,IRVING 24 CHAMBORD,QC,CHAMBORD,"1778 Rue Principale, Chambord, QC G0W 1G0",48.4383,-72.0653
21130,IRVING 24 BAIE COMEAU,QC,BAIE-COMEAU,"2929 Boul Lafleche, Baie-Comeau, QC G5C 1E6",49.1922,-68.3025
23150,ST-ANTONIN IRVING BIG STOP,QC,SAINT-ANTONIN,"960 Route 185, Saint-Antonin, QC G0L 2J0",47.7681,-69.4742
35060,IRVING 24 PORT CARTIER,QC,PORT-CARTIER,"19 Rue du Moulin, Port-Cartier, QC G5B 2G2",50.0333,-66.8864
37030,IRVING 24 STE-ANNE DE MONTS,QC,STE-ANNE-DES-MONTS,"100 Boul Sainte-Anne Ouest, Sainte-Anne-des-Monts, QC G4V 1P4",49.1264,-66.4911
59002,IRVING 24 LA TUQUE,QC,LA TUQUE,"600 Rue Commerciale, La Tuque, QC G9X 3B6",47.4539,-72.7703
5110,ST-LIBOIRE IRVING BIG STOP,QC,SAINT-LIBOIRE,"1145 Rang Saint-Edouard, Saint-Liboire, QC J0H 1R0",45.6583,-72.7669
13210,IRVING 24 MONTREAL,QC,MONTREAL,"4505 De La Sortie 185, Montreal, QC H1H 5H9",45.6083,-73.5253
5054,IRVING 24 ST JEAN CHRYSOSTOME,QC,SAINT-JEAN-CHRYSOSTOME,"860 Boul Guillaume Couture, Saint-Jean-Chrysostome, QC G6Z 2R1",46.7239,-71.2503
58231,YAMACHICHE I24,QC,YAMACHICHE,"430 Rue Sainte-Anne, Yamachiche, QC G0X 3L0",46.2714,-72.8231
17050,ST-CYRILLE IRVING BIG STOP,QC,SAINT-CYRILLE,"1145 Rang Saint-Edouard, Saint-Cyrille-de-Wendover, QC J1Z 1B4",45.8953,-72.4314
50065,SAINT JEAN AUGUSTINE I24,QC,SAINT-AUGUSTIN-DE-DESMAURES,"3065 Rue Fossambault, Saint-Augustin-de-Desmaures, QC G3A 2K4",46.7378,-71.48
58237,SHAWINIGAN I24,QC,SHAWINIGAN,"2300 Boul des Recollets, Shawinigan, QC G9N 8P2",46.5753,-72.7464
58238,ANGE GARDIEN I24,QC,ANGE-GARDIEN,"505 Route 116, Ange-Gardien, QC J0E 1E0",45.3464,-72.9297
9003,PEMBROKE IRVING BIG STOP,ON,PEMBROKE,"1751 Paul Martin Dr, Pembroke, ON K8A 6W5",45.8281,-77.1264
9000,IRVING OIL - CORNWALL MAINWAY,ON,CORNWALL,"3250 Brookdale Ave, Cornwall, ON K6K 1W3",45.0206,-74.7183
4011,IRVING 24 PARKDALE,PE,CHARLOTTETOWN,"500 University Ave, Charlottetown, PE C1A 4P3",46.2522,-63.1212
